frame,time_s,x_px,y_px,path_mm,velocity_mm_s,accel_mm_s2
134,5.3600,522,397,381.821,59.142,43.768
135,5.4000,523,394,384.983,67.882,52.115
136,5.4400,523,390,388.983,77.882,142.254
137,5.4800,524,390,389.983,77.882,167.254
138,5.5200,525,389,391.398,77.882,187.800
139,5.5600,525,388,392.398,52.882,-31.298
140,5.6000,527,386,395.226,51.213,-83.346
141,5.6400,529,379,402.506,67.614,-51.344
142,5.6800,532,371,411.050,105.334,137.257
143,5.7200,521,310,473.034,408.182,1651.498
144,5.7600,520,293,490.063,488.329,2177.233
145,5.8000,514,279,505.295,550.345,2495.657
146,5.8400,504,266,521.696,595.950,2641.682
147,5.8800,498,253,536.014,624.819,2597.427
148,5.9200,494,244,545.863,364.144,-220.189
149,5.9600,493,241,549.025,294.809,-967.602
150,6.0000,493,236,554.025,243.651,-1533.468
151,6.0400,493,232,558.025,181.645,-2071.527
152,6.0800,492,225,565.096,145.411,-2397.041
153,6.1200,492,222,568.096,111.167,-1264.887
154,6.1600,493,218,572.219,115.971,-894.189
155,6.2000,493,211,579.219,125.971,-588.400
156,6.2400,492,208,582.382,121.782,-299.313
157,6.2800,493,205,585.544,102.238,-215.864
158,6.3200,495,209,590.016,109.599,-7.839
159,6.3600,499,221,602.665,152.229,181.291
160,6.4000,503,235,617.225,190.030,320.296
161,6.4400,505,253,635.336,264.773,714.952
162,6.4800,506,270,652.366,334.108,1159.349
163,6.5200,506,280,662.366,361.747,1260.742
164,6.5600,506,287,669.366,333.502,906.364
165,6.6000,502,285,673.838,283.061,465.157
166,6.6400,497,282,679.669,221.662,-215.551
167,6.6800,492,277,686.740,171.871,-811.187
168,6.7200,491,273,690.863,142.486,-1096.306
169,6.7600,493,270,694.468,125.514,-1039.939
170,6.8000,495,266,698.940,125.514,-787.737
171,6.8400,494,263,702.103,112.171,-547.458
172,6.8800,492,261,704.931,90.957,-404.566
173,6.9200,485,260,712.002,105.697,-183.945
174,6.9600,476,261,721.058,132.946,37.162
175,7.0000,470,264,727.766,144.127,93.064
176,7.0400,467,266,731.371,146.343,170.862
177,7.0800,471,270,737.028,160.485,347.639
178,7.1200,470,270,738.028,130.130,122.163
179,7.1600,466,263,746.091,125.164,-38.911
180,7.2000,461,251,759.091,156.623,62.483
181,7.2400,456,244,767.693,181.607,176.320
182,7.2800,453,236,776.237,196.043,177.788
183,7.3200,454,233,779.399,206.854,383.622
184,7.3600,450,224,789.248,215.787,453.115
185,7.4000,450,221,792.248,165.787,45.820
186,7.4400,452,219,795.076,136.918,-223.447
187,7.4800,456,217,799.549,116.558,-397.422
188,7.5200,462,218,805.631,131.161,-378.467
189,7.5600,464,217,807.867,93.097,-613.452
190,7.6000,464,218,808.867,83.097,-413.452
191,7.6400,463,217,810.282,76.026,-304.460
192,7.6800,463,215,812.282,63.665,-264.466
193,7.7200,466,211,817.282,58.251,-364.548
194,7.7600,466,208,820.282,62.071,-155.130
195,7.8000,467,209,821.696,64.142,-94.774
196,7.8400,472,215,829.506,96.122,100.482
197,7.8800,478,229,844.738,162.280,493.074
198,7.9200,481,248,863.973,233.457,876.028
199,7.9600,489,268,885.514,326.160,1320.446
200,8.0000,487,287,904.619,414.614,1752.360
201,8.0400,481,293,913.104,417.989,1609.335
202,8.0800,480,299,919.187,372.245,1049.826
203,8.1200,477,294,925.018,305.223,358.831
204,8.1600,475,283,936.198,253.422,-363.694
205,8.2000,472,278,942.029,187.051,-1137.813
206,8.2400,471,274,946.152,165.241,-1263.743
207,8.2800,468,272,949.758,152.855,-1096.954
208,8.3200,465,272,952.758,138.700,-832.617
209,8.3600,461,272,956.758,102.798,-753.118
210,8.4000,460,272,957.758,78.643,-542.041
211,8.4400,459,270,959.994,69.208,-480.162
212,8.4800,460,267,963.156,66.992,-429.314
213,8.5200,461,264,966.318,67.803,-354.483
214,8.5600,458,263,969.480,63.615,-195.918
215,8.6000,454,261,973.953,80.975,11.660
216,8.6400,450,263,978.425,92.156,114.737
217,8.6800,448,265,981.253,90.486,117.473
218,8.7200,449,263,983.489,85.855,90.261
219,8.7600,451,260,987.095,88.072,122.285
220,8.8000,450,254,993.178,96.125,75.748
221,8.8400,445,247,1001.780,116.776,123.101
