frame,time_s,x_px,y_px,path_mm,velocity_mm_s,accel_mm_s2
120,3.9992,1368,1029,2628.903,704.015,-5046.460
121,4.0325,1396,1001,2668.501,856.358,-1883.390
122,4.0658,1372,1017,2697.345,819.074,-2230.822
123,4.0992,1294,1035,2777.395,1112.564,-552.376
124,4.1325,1206,1078,2875.339,1608.741,3291.608
125,4.1658,1161,1091,2922.179,1760.012,6337.259
126,4.1992,1125,1082,2959.287,1745.069,5333.343
127,4.2325,1108,1084,2976.404,1674.692,5134.742
128,4.2658,1083,1073,3003.717,1358.206,1474.152
129,4.2991,1060,1050,3036.244,965.626,-3859.467
130,4.3325,1038,1044,3059.048,821.377,-5632.946
131,4.3658,1030,1051,3069.678,662.478,-6496.853
132,4.3991,1034,1042,3079.527,618.859,-6336.272
133,4.4324,1046,1028,3097.966,565.605,-4756.566
134,4.4658,1044,1010,3116.076,479.091,-2919.798
135,4.4991,1037,996,3131.729,436.176,-2311.672
136,4.5324,1035,993,3135.335,394.020,-1611.074
137,4.5657,1028,985,3145.965,398.708,-1321.170
138,4.5991,1023,987,3151.350,320.369,-1471.711
139,4.6324,1028,981,3159.160,258.554,-1323.489
140,4.6657,1031,982,3162.322,183.597,-1515.776
141,4.6991,1009,995,3187.876,315.314,-472.331
142,4.7324,1005,1003,3196.820,305.196,-561.185
143,4.7657,992,1008,3210.749,356.466,216.625
144,4.7990,976,1013,3227.512,410.194,910.024
145,4.8324,958,1001,3249.145,521.042,2025.077
146,4.8657,943,978,3276.604,532.476,1303.234
147,4.8990,940,979,3279.767,497.777,1155.714
148,4.9323,940,972,3286.767,456.198,598.512
149,4.9657,941,972,3287.767,361.601,-291.617
150,4.9990,939,971,3290.003,245.194,-1655.423
151,5.0323,933,966,3297.813,127.277,-2431.680
152,5.0656,921,954,3314.783,210.144,-1726.146
153,5.0990,912,938,3333.141,278.303,-1067.587
154,5.1323,910,922,3349.266,369.068,44.813
155,5.1656,913,904,3367.514,465.161,1320.067
156,5.1990,920,879,3393.475,574.090,2681.417
157,5.2323,938,848,3429.322,687.371,2863.940
158,5.2656,965,821,3467.506,806.352,3168.934
159,5.2989,997,792,3510.692,968.752,3598.825
160,5.3323,1039,748,3571.519,1224.279,4555.626
161,5.3656,1073,736,3607.575,1284.855,4265.448
162,5.3989,1105,706,3651.438,1332.964,3874.338
163,5.4322,1156,683,3707.385,1439.561,3800.019
164,5.4656,1173,662,3734.403,1342.539,2243.176
165,5.4989,1203,662,3764.403,1157.536,-400.538
166,5.5322,1233,645,3798.885,1148.092,-820.742
167,5.5655,1291,598,3873.538,1332.864,-0.600
168,5.5989,1317,594,3899.843,1154.985,-1707.800
169,5.6322,1338,584,3923.103,1132.426,-1260.931
170,5.6655,1380,568,3968.047,1222.111,387.525
171,5.6989,1366,594,3997.577,1192.391,265.847
172,5.7322,1335,626,4042.130,1011.760,-1927.014
173,5.7655,1294,644,4086.907,1122.610,-194.290
174,5.7988,1319,600,4137.514,1286.724,925.977
175,5.8322,1250,614,4207.920,1439.525,1304.747
176,5.8655,1179,650,4287.525,1740.039,3286.547
177,5.8988,1134,667,4335.629,1761.347,4498.431
178,5.9321,1097,670,4372.750,1715.403,3557.476
179,5.9655,1053,672,4416.796,1676.030,2336.303
180,5.9988,1017,672,4452.796,1469.553,180.205
181,6.0321,975,689,4498.106,1263.740,-2858.368
182,6.0654,934,697,4539.879,1225.747,-3214.248
183,6.0988,879,709,4596.173,1340.805,-2248.042
184,6.1321,838,728,4641.362,1347.665,-1970.588
185,6.1654,792,744,4690.065,1423.899,-273.976
186,6.1988,751,764,4735.683,1425.747,972.239
187,6.2321,721,781,4770.165,1381.990,937.648
188,6.2654,702,803,4799.233,1218.608,-733.331
189,6.2987,690,827,4826.066,1108.451,-1435.569
190,6.3321,681,852,4852.637,975.630,-2690.159
191,6.3654,672,878,4880.151,866.982,-3353.268
192,6.3987,678,912,4914.676,867.243,-3089.109
193,6.4320,685,940,4943.538,865.999,-2116.075
194,6.4654,694,969,4973.902,887.193,-1327.815
195,6.4987,711,992,5002.503,899.376,-457.612
196,6.5320,729,1018,5034.126,924.036,342.395
197,6.5653,749,1039,5063.126,890.877,141.837
198,6.5987,762,1055,5083.741,841.390,-147.686
199,6.6320,785,1057,5106.828,797.715,-536.978
200,6.6653,810,1066,5133.399,785.533,-683.199
201,6.6987,832,1077,5157.995,743.368,-1084.227
202,6.7320,855,1076,5181.017,707.491,-1100.538
203,6.7653,874,1075,5200.043,697.954,-860.791
204,6.7986,888,1066,5216.687,659.285,-830.748
205,6.8320,895,1036,5247.492,684.701,-605.109
206,6.8653,892,1004,5279.633,729.972,-80.392
207,6.8986,892,970,5313.633,795.855,530.289
208,6.9319,885,931,5353.256,919.461,1329.312
209,6.9653,875,899,5386.782,1020.778,2169.395
210,6.9986,853,861,5430.691,1099.413,2488.771
211,7.0319,823,822,5479.895,1201.814,2831.621
212,7.0652,784,789,5530.983,1304.363,3051.665
213,7.0986,733,768,5586.137,1397.569,2869.222
214,7.1319,671,760,5648.651,1571.531,3305.181
215,7.1652,608,761,5711.659,1686.148,3521.116
216,7.1986,529,771,5791.290,1868.745,4002.392
217,7.2319,464,790,5859.010,1968.556,3985.958
218,7.2652,427,837,5918.826,1996.534,3594.515
219,7.2985,312,912,6056.121,2445.312,5243.741
220,7.3319,337,953,6104.142,2355.371,4016.150
221,7.3652,351,993,6146.521,2131.819,1578.765
222,7.3985,398,1038,6211.591,2115.911,884.310
223,7.4318,438,1071,6263.446,2068.137,429.703
224,7.4652,480,1102,6315.648,1557.471,-5328.115
225,7.4985,539,1123,6378.274,1645.119,-4262.369
226,7.5318,598,1146,6441.598,1770.817,-2166.453
227,7.5651,657,1164,6503.283,1750.505,-2192.877
228,7.5985,704,1169,6550.548,1722.958,-2071.491
229,7.6318,750,1177,6597.238,1689.885,794.639
230,7.6651,791,1172,6638.542,1561.926,-499.259
231,7.6985,833,1167,6680.839,1435.733,-2010.906
232,7.7318,873,1158,6721.839,1311.600,-2633.963
233,7.7651,899,1141,6752.903,1214.376,-3052.106
234,7.7984,918,1117,6783.514,1117.876,-3432.741
235,7.8318,927,1092,6810.084,1029.460,-3195.441
236,7.8651,934,1066,6837.010,937.217,-2991.698
237,7.8984,940,1042,6861.749,839.629,-2832.395
238,7.9317,938,1024,6879.860,761.891,-2715.453
